user,location,text
avides_vgt,Ciudad de Guatemala,"Con un click, en #AgexportHoy  encontrará  proveedores de productos y servicios esenciales  🧴📦🖥️  que necesitan las… https://t.co/QhNE7bREy4"
cubacooperaveNE,Nueva Esparta,Brigada Médica Cubana en Nueva Esparta: Pesquisando la comunidad para prevenir la pandemia identificado nuevos caso… https://t.co/Vlczzb51GQ
soymferreira,"Madrid, Comunidad de Madrid","#15abril Otro de los grandes desafios de ver clases en Venezuela bajo #COVID19 o no hay internet, si lo hay se va l… https://t.co/RKtXrEYNq2"
jjocampo_,Colombia,#MePreguntanQue el decreto de la emergencia económica 417 del 17 de marzo fue por 30 días y se cumplen el viernes 1… https://t.co/MxH06nmdgK
CyRiveraB,Ilo - Perú.,"#Covid19 #Moquegua
Anuncia el @goremoquegua y la Dirección Regional de Salud que a cierre de reporte 12:00 horas de… https://t.co/a2iArnkhMp"
OxfamenPeru,"Lima, Perú","En #AméricaLatina, 54% de mujeres tienen ingresos de la informalidad. Trabajan en mercados, calles y el campo. Gobi… https://t.co/CYlSiDZpWK"
ElUniversal,Venezuela,"#EUVzla| Si debes a salir a la calle porque tienes que adquirir un bien de primera necesidad, ponemos a tu disposic… https://t.co/38raFoBYda"
justiammyself,,#aprobadogeneral En serio acabo de hablar con mi hermano que tiene varios amigos con adolescentes y 2 de 4ESO estan… https://t.co/gWK3VseITT
cdiazp93,"Lima, Peru",Si médicos y enfermeras están luchando x tener material de bioseguridad necesario... ¿Cómo están los… https://t.co/mRNkiA5rbw
Ayto_Tulum,,"En esta etapa de aislamiento por #COVID19, hay muchas actividades que puedes realizar para mantener divertidos a lo… https://t.co/5akf5LRU0Q"
RobertoP_Samper,,"La #AviaciónCubana siempre estará al lado de la solidaridad, en esta batalla contra la #COVID19 nuestros médicos ay… https://t.co/vMrEWyU9A5"
minuto70,,Habla @CarmeloEnc de bulos en @ExpositoCOPE El mayor bulo lo difundió él cuando dijo q NO HABÍA Q TENER MIEDO AL… https://t.co/2KJYs0xe8w
bogaplentzia,Plentzia,"[Vídeo] Virginia Diaz, campeona de Europa en skiff y dos sin timonel, explica cómo es su entrenamiento durante el c… https://t.co/xubNJi8yRI"
ecuadorenvivo,Ecuador,#COVID19 Unión Europea reorientará los fondos de sus proyectos en Ecuador https://t.co/1sECqgRxK3 https://t.co/f29p6jnL2v
UNFPA_Ve,Venezuela,"Evitemos riesgos, hoy más que nunca nuestras familias, comunidad y país nos necesita.
Adolescentes y jóvenes tenemo… https://t.co/RhuLQOPx2z"
EPAespanol,USA,"Tip #RalentizarLaPropagación: Cuando use productos desinfectantes registrados por @EPA, siga las instrucciones para… https://t.co/NtFe1A6IXJ"
nncc,"Houston, TX","😃😄☝️👍“Bautismo delivery”, pastor lleva salvación en medio del Covid-19 https://t.co/2wHwiEq1OD #noticiascristianas… https://t.co/R689FlRkCa"
leanmercado,"Madrid, Spain",Siento ser tan vehemente... Han sido muchos años trabajando con y x farmaceutic@s. S un sector q ahora puede ser d… https://t.co/g10WilLeJR
AldcastRaisa,,"Amigos, no me salieron ricas las albóndigas que hice (mi primera vez) solo que mi esposo no esta listo para esa con… https://t.co/J2oJwF8cQo"
EnricBarba,Gava(Barcelona),"Entrevista a Alberto Mantovani, immunologo, Dtor Cientifico de un centro en Milan, colaborador de la univ. de Wuhan… https://t.co/lR69sboeSO"
carolinasimo_,Spain,"** Italia reabre el comercio pese a las restricciones: la #modainfantil vuelve a operar**
Esperemos que en #España… https://t.co/00fOwF4FlY"
MaraInsCarrill1,,"#SNTEsalud ⚕ 

Anótalo 📝 y tómalo en cuenta ✔️ El agua caliente destruye el #Coronavirus #COVID2019 🦠 Ok 😉 Comparte… https://t.co/NNhkWygUvX"
EFEMexico,México,"#Médicos mexicanos son agredidos por ciudadanos por miedo al #COVID19

https://t.co/Kw8wsyfayV"
AleteiaES,,"Un hermoso mensaje de la Iglesia a los periodistas, a propósito de su labor en tiempos de coronavirus… https://t.co/PE1tcVTr1i"
StrayCats1974,"Girona, Cataluña (Spain)",Para cuando un lazo negro 🖤 para todas las víctimas del #COVID19 y dejar de machacar tanto los cerebros. Ya nos ima… https://t.co/YbCvt9bEGS
SecPrensaSV,El Salvador,"""No nos dejemos guiar por información falsa y mitos sobre el #COVID19. Cumplamos con la cuarentena domiciliar, dist… https://t.co/uzzzcLM2LR"
cessanca,Ciudadano del mundo.Valladolid,"Esta pregunta no tiene cabida en un estado democrático.
Dice todo del Gobierno de España y los actos de tutela que… https://t.co/aXZh8BeJfL"
sanseronies,"La Cabrera, España","Segunda parte del turno intensivo de 14 horas/día.esta vez solo una semana..
.
Y con premios así..
#covi̇d19… https://t.co/MdR1S5DzEw"
EdgarCedric2,,"#SNTEsalud ⚕ 

Anótalo 📝 y tómalo en cuenta ✔️ *El agua caliente destruye el #Coronavirus* #COVID2019 🦠 Ok 😉 Compar… https://t.co/oE58nL2j9E"
INPImx,Venustiano Carranza,"Algunas mujeres y niñas indígenas podrían estar en riesgo durante la situación que hoy vive el país, en la que es n… https://t.co/PH2YgQoMyP"
SecPrensaSV,El Salvador,"El cargamento recibido por el ministro de @SaludSV, @FranAlabi, y la comisionada presidencial  @CarolinaElSalva, co… https://t.co/HleMmnIE0Q"
AcelerandoEcu,Quito-Ecuador,"#Industria

Algunas fábricas de autos retoman de a poco sus actividades en Europa. En los países se analiza levanta… https://t.co/RUDFzlw7vp"
MaikGarcia5,AT HOME 🏡 ,"Que poca. 🤬 😤 😡

Camilleros eventuales del ISSSTE protestan para exigir insumos ante #Covid19 https://t.co/04xM4SgVNB"
VitoSeguraC,,"Sacado de FB. No le tengamos miedo a una #CuarentenaTotal. No se trata de que congelar todo y que nadie salga, sino… https://t.co/vs0qJliVKx"
50Trabajadores,"La Habana, Cuba.",#COVID19 El Consejo de Defensa Provincial de #VillaClara declaró en vigilancia incrementada los Consejos Populares… https://t.co/3nKkBRx3MQ
paobarquet,México,"Omar García Harfuch, dio a conocer que dos oficiales fallecieron a causa de #COVID19 y 20 más han dado positivo. https://t.co/j5J8sPnreQ"
LUCA_ccbel,en camino.....,@JuanChanquei Día tras día en el aislamiento #Covid19 las estructuras del @GuatemalaGob dan muestras de lo poco art… https://t.co/8TX2tklffU
aguaspues,"Colombia, Brasil, Argentina",Esperando que @PlayStation de la buena noticia para comprar la nueva edición de psp5 para mientras encuentran la vacuna para el #COVID19
MatanteJu,Quebec city  🇨🇦,"@TheRightMelissa @realDonaldTrump Real data.

#COVID19
#TrumpLiesPeopleDie  
#RestezChezVous
#StayAtHome https://t.co/vpXDkARYXM"
QuadratinR,"Quintana Roo, México","#COVID19 #CoronavirusMx #COVID19mx 
📣Piden garantizar derechos en aplicación de restricciones por Covid 19📣
https://t.co/U0UH6dPyNc"
lajornadaonline,México,"#DíaEnImágenes Fieles asisten a la iglesia de Santo Domingo, en la #CDMX, aunque no haya misa por la… https://t.co/o6JUZNAGpK"
victormtzlucio,Monterrey NL,"ÚLTIMA HORA: Automovilistas que vayan acompañados por más de una persona podrían ser detenidos, informa la Secretar… https://t.co/GNCr0iS1wN"
blancopabloda,Tierra del Fuego,🖥#Videoconferencia: Expone el Ministro de Salud @ginesggarcia en la Comisión de #Salud del @SenadoArgentina para in… https://t.co/ovmblP2HmZ
mayaoviedo,Quisqueya,"Lo peor es que, por más duro que nos parezca esto, siempre podría ser peor. El aislamiento y el encierro son para e… https://t.co/pDV5G30kD6"
mezagutierrez,Cd. De Mexico,Lo que hace el #COVID19 👇🏼👇🏼 https://t.co/SritCkmC5S
dios_enoc,"San Luis, Argentina","No es joda el #COVID19 , muchos lo toman a la ligera,.pero es más grave de lo que se piensa.  Recién vamos a estar… https://t.co/75uxWfNbgE"
AlejandroRayran,,"4. Lo que haría pensar en crear un orden mundial multipolar, como lo ha pensado e intentado realizar Rusia y China.… https://t.co/CHFUIGgo7Y"
silag31,,"@informativost5 Esas son las decisiones de EEUU que los vzlnos apátridas le gustaría que se aplicará en el país, ta… https://t.co/u8Xztu2DOX"
R2D2DVO,Donde nacio Venezuela,De confirmarse la verdad sobre el #COVID19: al regimen comunista  #china y el pleno de la @WHO deben desaparecerlos… https://t.co/ht8t3NPTpt
Rey_Mendoza_,Deseando regresar a Sevillla,@Tonicanto1 Claro. No pensarías que iban a perseguir a los responsables de permitir que España sea el país con mayo… https://t.co/lAq3OClQ7H
xevtfm,"Villahermosa, Tabasco, México","#BrevesVT Por la pandemia de #covid19, la alcaldesa de #Comalcalco, @lorenamendezd anunció que los funcionarios des… https://t.co/Lh8JZTfMFQ"
